	name	ID	cand2_no_overlap	cand12_no_overlap	cand12_vs_parental_p.val	cand2_vs_parental_p.val	cand12_vs_parental_p.adj	cand2_vs_parental_p.adj	cand12_vs_parental_significant	cand2_vs_parental_significant	significant	cand12_vs_parental_ratio	cand2_vs_parental_ratio	cand12_centered	cand2_centered	parental_centered
178	SHKBP1	Q8TBC3	#N/A	#N/A	0.0644126052966609	1.41950649163954e-05	0.767	0.235	FALSE	FALSE	FALSE	1.49	4.49	-0.503	2.49	-1.99
179	SIAH1	Q8IUQ4	#N/A	#N/A	0.827287778367659	0.0122242714344229	0.903	0.644	FALSE	FALSE	FALSE	0.14	1.77	-0.497	1.13	-0.637
180	SIAH2	O43255	#N/A	#N/A	0.743986831066167	0.00381967833526669	0.898	0.573	FALSE	FALSE	FALSE	-0.392	3.94	-1.57	2.76	-1.18
181	SIRT5	Q9NXA8-2	#N/A	#N/A	0.0697326371182168	0.000418522366864321	0.773	0.414	FALSE	FALSE	FALSE	1.29	2.9	-0.106	1.51	-1.4
182	SKP1	P63208	#N/A	#N/A	0.0779019490005838	0.107605683853372	0.781	0.753	FALSE	FALSE	FALSE	1.5	-1.36	1.45	-1.4	-0.0472
183	SLC25A5	P05141	#N/A	#N/A	0.449955413742599	0.0406489981150556	0.877	0.708	FALSE	FALSE	FALSE	0.362	1.04	-0.104	0.57	-0.466
184	SLC25A6	P12236	#N/A	#N/A	0.48865600544325	0.256057702307858	0.88	0.79	FALSE	FALSE	FALSE	-0.635	1.05	-0.775	0.915	-0.14
185	SNRNP40	Q96DI7	#N/A	#N/A	0.127874682527424	0.0157250685846965	0.812	0.658	FALSE	FALSE	FALSE	1.63	2.73	0.177	1.27	-1.45
186	SNRPA1	P09661	#N/A	#N/A	0.639279019149255	0.0274538783669085	0.892	0.688	FALSE	FALSE	FALSE	0.303	1.53	-0.308	0.919	-0.611
187	SNRPB	P14678-2	#N/A	#N/A	0.0760448576194271	0.215970637198322	0.779	0.783	FALSE	FALSE	FALSE	1.48	1.01	0.649	0.178	-0.827
188	SNRPD1	P62314	#N/A	#N/A	0.0355151922588116	0.203819937236323	0.722	0.781	FALSE	FALSE	FALSE	0.643	0.373	0.305	0.0341	-0.339
189	SNRPD2	P62316	#N/A	#N/A	0.00386679666520211	0.130111241190387	0.496	0.762	FALSE	FALSE	FALSE	1.42	0.678	0.721	-0.0214	-0.7
190	SNRPD3	P62318-2	#N/A	#N/A	0.16127042914833	0.379569771406024	0.826	0.806	FALSE	FALSE	FALSE	0.445	0.274	0.205	0.0345	-0.24
191	SNRPE	P62304	#N/A	#N/A	0.0266639174148901	0.0995438328685638	0.698	0.75	FALSE	FALSE	FALSE	0.941	0.676	0.402	0.137	-0.539
192	SNRPF	P62306	#N/A	#N/A	0.065776811133223	0.0715736565740828	0.769	0.735	FALSE	FALSE	FALSE	1.09	1.06	0.371	0.346	-0.717
193	SNRPG	P62308	#N/A	#N/A	0.254903583126195	2.28031853434897e-06	0.85	0.156	FALSE	FALSE	FALSE	0.608	3.55	-0.779	2.17	-1.39
194	TCP1	P17987	#N/A	#N/A	0.000246020723195577	1.45790419852348e-05	0.209	0.236	FALSE	FALSE	FALSE	3.64	4.71	0.856	1.93	-2.78
195	TGM3	Q08188	#N/A	#N/A	0.0765605185563002	0.0547606034974902	0.779	0.722	FALSE	FALSE	FALSE	-3.83	-4.19	-1.16	-1.52	2.67
196	THRAP3	Q9Y2W1	#N/A	#N/A	0.0282716716429695	0.000400266333997285	0.703	0.411	FALSE	FALSE	FALSE	-2.26	-4.12	-0.133	-2	2.13
197	TINAGL1	Q9GZM7-3	#N/A	#N/A	0.372002158539702	0.129688822646914	0.868	0.762	FALSE	FALSE	FALSE	-0.734	-1.27	-0.0647	-0.605	0.669
198	TPM3.1	P06753-2	#N/A	#N/A	0.0216133537999364	0.00353460531300105	0.679	0.568	FALSE	FALSE	FALSE	2.79	3.72	0.617	1.55	-2.17
199	TRIM27	P14373	#N/A	#N/A	0.0148452714082865	3.34647210530509e-05	0.643	0.264	FALSE	FALSE	FALSE	-2.9	-5.94	0.0438	-2.99	2.95
200	TRIM32	Q13049	#N/A	#N/A	0.509846476268172	0.0403895574752219	0.882	0.708	FALSE	FALSE	FALSE	-0.351	1.15	-0.618	0.886	-0.268
201	TSG101	Q99816	#N/A	#N/A	0.622189217176099	0.0647057027301907	0.891	0.73	FALSE	FALSE	FALSE	-0.486	1.91	-0.96	1.43	-0.474
202	TUBA1B	P68363	#N/A	#N/A	0.00172478220055822	0.00143604899472607	0.398	0.506	FALSE	FALSE	FALSE	1.2	1.23	0.391	0.418	-0.808
203	TUBB	P07437	#N/A	#N/A	0.379823125850465	0.0171043166540613	0.869	0.663	FALSE	FALSE	FALSE	0.426	1.25	-0.131	0.688	-0.557
204	TUBB4B	P68371	#N/A	#N/A	0.0318603064341175	0.00306910581052307	0.713	0.558	FALSE	FALSE	FALSE	0.873	1.29	0.154	0.566	-0.719
205	TUBG1	P23258	#N/A	#N/A	0.263096505195871	0.00733101246889775	0.852	0.614	FALSE	FALSE	FALSE	1.25	3.27	-0.259	1.77	-1.51
206	TXN	THIO_HUMAN	#N/A	#N/A	0.0199370811351786	0.274106331495779	0.672	0.793	FALSE	FALSE	FALSE	-3.51	-1.55	-1.82	0.138	1.68
207	U2AF1	P0DN76	#N/A	#N/A	0.503536489412215	0.00214386236199472	0.882	0.534	FALSE	FALSE	FALSE	0.513	2.7	-0.559	1.63	-1.07
208	U2AF2	P26368-2	#N/A	#N/A	0.143334703671033	0.125739809013301	0.819	0.76	FALSE	FALSE	FALSE	-1.13	1.18	-1.15	1.16	-0.0186
209	VCP	P55072	#N/A	#N/A	0.0109503331650665	0.087942153280053	0.613	0.744	FALSE	FALSE	FALSE	4.4	2.8	2	0.396	-2.4
210	VIM	P08670	#N/A	#N/A	0.527424549331349	0.70634767703394	0.884	0.832	FALSE	FALSE	FALSE	1.08	-0.642	0.935	-0.788	-0.146
211	YBX1	P67809	#N/A	#N/A	0.485279787721631	0.713355988379976	0.88	0.832	FALSE	FALSE	FALSE	-0.382	0.2	-0.322	0.261	0.0607
212	YBX3	P16989-2	#N/A	#N/A	0.511631295554405	0.495579189813268	0.882	0.817	FALSE	FALSE	FALSE	0.448	-0.465	0.453	-0.459	0.0058
213	YWHAZ	P63104	#N/A	#N/A	9.12519134200892e-05	0.0034966886693625	0.137	0.567	FALSE	FALSE	FALSE	6.55	4.38	2.91	0.735	-3.64
214	ZNF207	O43670-2	#N/A	#N/A	0.139561869032557	0.00146816393207895	0.817	0.507	FALSE	FALSE	FALSE	1.1	2.68	-0.16	1.42	-1.26
