label	condition	replicate
cand2_r1_A	cand2	1
cand2_r1_B	cand2	2
cand2_r1_C	cand2	3
cand2_r2_A	cand2	4
cand2_r2_B	cand2	5
cand2_r2_C	cand2	6
cand12_r1_A	cand12	1
cand12_r1_B	cand12	2
cand12_r1_C	cand12	3
cand12_r2_A	cand12	4
cand12_r2_B	cand12	5
cand12_r2_C	cand12	6
A375Cas9_r1_A	parental	1
A375Cas9_r1_B	parental	2
A375Cas9_r1_C	parental	3
A375Cas9_r2_A	parental	4
A375Cas9_r2_B	parental	5
A375Cas9_r2_C	parental	6
