"name"	"ID"	"cand16_harsh_vs_cand16_pbs_p.val"	"cand16_harsh_vs_parental_harsh_p.val"	"cand16_harsh_vs_parental_pbs_p.val"	"cand16_pbs_vs_parental_harsh_p.val"	"cand16_pbs_vs_parental_pbs_p.val"	"parental_harsh_vs_parental_pbs_p.val"	"cand16_harsh_vs_cand16_pbs_p.adj"	"cand16_harsh_vs_parental_harsh_p.adj"	"cand16_harsh_vs_parental_pbs_p.adj"	"cand16_pbs_vs_parental_harsh_p.adj"	"cand16_pbs_vs_parental_pbs_p.adj"	"parental_harsh_vs_parental_pbs_p.adj"	"cand16_harsh_vs_cand16_pbs_significant"	"cand16_harsh_vs_parental_harsh_significant"	"cand16_harsh_vs_parental_pbs_significant"	"cand16_pbs_vs_parental_harsh_significant"	"cand16_pbs_vs_parental_pbs_significant"	"parental_harsh_vs_parental_pbs_significant"	"significant"	"cand16_harsh_vs_cand16_pbs_ratio"	"cand16_harsh_vs_parental_harsh_ratio"	"cand16_harsh_vs_parental_pbs_ratio"	"cand16_pbs_vs_parental_harsh_ratio"	"cand16_pbs_vs_parental_pbs_ratio"	"parental_harsh_vs_parental_pbs_ratio"	"cand16_harsh_centered"	"cand16_pbs_centered"	"parental_harsh_centered"	"parental_pbs_centered"
"15"	"EIF4A1"	"P60842"	0.795141871695277	0.28186828904918	0.0814395762102867	0.407310873059424	0.129267157420069	0.461877807052398	0.934	0.682	0.737	1	0.043	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	0.321	1.36	2.27	1.04	1.95	0.917	0.987	0.667	-0.369	-1.29
"16"	"ELAVL1"	"Q15717"	6.88977695636797e-05	0.999999999999996	0.00243760141684972	6.88977695636793e-05	0.0842360854846123	0.00243760141684969	0.0821	0.88	0.384	1	0.0192	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-3.87	3.55e-15	-2.57	3.87	1.3	-2.57	-1.61	2.26	-1.61	0.96
"17"	"EYA1"	"Q99502"	0.999999999999993	1.47086309412849e-07	0.999999999999993	1.47086309412848e-07	1	1.47086309412848e-07	0.941	2.86e-14	0.886	1	0.66	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	3.55e-15	-3.88	3.55e-15	-3.88	0	3.88	-0.971	-0.971	2.91	-0.971
"18"	"FARSA"	"Q9Y285-2"	0.162967128207608	0.59720107566204	0.00673993324183575	0.0635133203413891	0.112106618153281	0.00227742666740607	0.879	0.818	0.489	1	0.0335	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	1.02	-0.376	2.2	-1.4	1.18	2.57	0.712	-0.311	1.09	-1.49
"19"	"FBXO22"	"Q8NEZ5"	0.0638226052817711	0.355676609207463	0.000555054746758877	0.309276757409826	0.0299856389966741	0.00369227039693449	0.832	0.73	0.252	1	0.00146	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	1.32	0.629	2.91	-0.695	1.59	2.28	1.22	-0.108	0.587	-1.7
"20"	"H3F3C"	"PS07924"	0.00174291093808575	0.603446427306739	0.999999999999997	0.00505622426308539	0.00174291093808573	0.603446427306737	0.456	0.819	0.886	1	7.27e-08	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-3.79	-0.524	3.55e-15	3.26	3.79	0.524	-1.08	2.71	-0.554	-1.08
"21"	"HDAC2"	"Q92769-3"	0.999999999999996	0.00503786135235949	0.999999999999996	0.00503786135235943	1	0.00503786135235943	0.941	0.0191	0.886	1	0.66	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	3.55e-15	-2.06	3.55e-15	-2.06	0	2.06	-0.516	-0.516	1.55	-0.516
"22"	"HDAC6"	"Q9UBN7"	1.97102341513901e-07	8.91863689754515e-05	1.97102341513899e-07	5.11894912594402e-10	0.999999999999994	5.11894912594401e-10	9.81e-05	1.85e-05	0.000163	1	0.66	1	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	4.6	-2.67	4.6	-7.27	3.55e-15	7.27	1.63	-2.97	4.3	-2.97
"23"	"HIST1H1B"	"P16401"	4.78152850893197e-05	0.411776506018846	0.30608605504399	0.000226773000028283	0.000342449100270632	0.832059990275953	0.0635	0.758	0.824	1	1.28e-11	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-3.69	-0.544	-0.683	3.14	3.01	-0.139	-1.23	2.46	-0.685	-0.546
"24"	"HIST1H1C"	"P16403"	1.52838133025294e-06	0.169703368852791	4.77658578230921e-06	1.5395373857637e-05	0.4741838920183	5.55346833216334e-05	0.00214	0.559	0.0102	1	0.324	1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	-7.81	-1.44	-7.08	6.37	0.734	-5.64	-4.08	3.73	-2.64	3
"25"	"HIST1H1D"	"P16402"	4.37664449996898e-08	0.999999999999992	1.06706434038866e-07	4.37664449996891e-08	0.488830709788965	1.06706434038865e-07	5.19e-06	0.88	7.48e-05	1	0.338	1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	-3.65	3.55e-15	-3.4	3.65	0.248	-3.4	-1.76	1.89	-1.76	1.64
"26"	"HIST1H2AJ"	"Q99878"	0.00866788609396134	0.00882575640514765	0.141209228002919	2.63322748752421e-05	0.160299366787219	0.000400108071683156	0.666	0.0395	0.777	1	0.0592	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	-3.34	3.33	-1.71	6.66	1.63	-5.04	-0.43	2.91	-3.76	1.28
"27"	"HIST1H4A"	"P62805"	0.00234788739011004	0.905233229112815	0.232761844249472	0.00184263411175332	0.028089225517805	0.192646415998637	0.499	0.87	0.808	1	0.00124	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-4.48	0.147	-1.51	4.63	2.97	-1.66	-1.46	3.02	-1.61	0.0517
"28"	"HNRNPA0"	"Q13151"	6.44303253515704e-09	0.999999999999994	1.97344155011759e-08	6.44303253515699e-09	0.334921477346661	1.97344155011759e-08	8.72e-08	0.88	2.68e-06	1	0.193	1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	-5.32	3.55e-15	-4.88	5.32	0.438	-4.88	-2.55	2.77	-2.55	2.33
"29"	"HNRNPA1"	"P09651-3"	3.55896590144932e-06	0.0306902480164142	6.49358941082296e-06	0.000228379839086177	0.712293112552809	0.000469922347729614	0.00547	0.148	0.0135	1	0.518	1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	-7.27	-2.4	-6.89	4.88	0.376	-4.5	-4.14	3.13	-1.74	2.75
"30"	"HNRNPAB"	"Q99729-3"	3.68273863079263e-08	0.999999999999992	2.19875546253642e-07	3.6827386307926e-08	0.182349884114418	2.19875546253639e-07	4.08e-06	0.88	0.000181	1	0.0717	1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	-3.66	3.55e-15	-3.17	3.66	0.484	-3.17	-1.71	1.95	-1.71	1.47
"31"	"HNRNPF"	"P52597"	0.165529297815096	0.321996350513571	0.00636544856998331	0.0257839221832485	0.10494567389479	0.00082065316035249	0.88	0.71	0.482	1	0.0296	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	1.45	-1.01	3.16	-2.46	1.71	4.17	0.897	-0.548	1.91	-2.26
"32"	"HNRNPH1"	"P31943"	0.725092094357435	0.618208095589751	0.0409830473163342	0.399666066354643	0.0795676004443272	0.0152297752885056	0.932	0.823	0.68	1	0.0171	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	0.146	-0.207	0.912	-0.353	0.766	1.12	0.213	0.0671	0.42	-0.699
